Timestamp,Methane Input,Methane Output
2025-01-04 19:00:00,-197,15
2025-01-04 19:00:10,-197,16
2025-01-04 19:00:20,-197,15
2025-01-04 19:00:30,-197,16
2025-01-04 19:00:40,-197,16
2025-01-04 19:00:50,-197,16
2025-01-04 19:01:00,-197,17
2025-01-04 19:01:10,-197,17
2025-01-04 19:01:20,-197,17
2025-01-04 19:01:30,-197,17
2025-01-04 19:01:40,-197,16
2025-01-04 19:01:50,-197,16
2025-01-04 19:02:00,-197,16
2025-01-04 19:02:10,-197,15
2025-01-04 19:02:20,-197,15
2025-01-04 19:02:30,-197,17
2025-01-04 19:02:40,-197,18
2025-01-04 19:02:50,-197,17
2025-01-04 19:03:00,-197,14
2025-01-04 19:03:10,-197,16
2025-01-04 19:03:20,-197,16
2025-01-04 19:03:30,-196,21
2025-01-04 19:03:40,-197,15
2025-01-04 19:03:50,-196,15
2025-01-04 19:04:00,-197,15
2025-01-04 19:04:10,-197,14
2025-01-04 19:04:20,-197,13
2025-01-04 19:04:30,-197,15
2025-01-04 19:04:40,-197,15
2025-01-04 19:04:50,-197,15
2025-01-04 19:05:00,-197,15
2025-01-04 19:05:10,-196,14
2025-01-04 19:05:20,-197,16
2025-01-04 19:05:30,-197,15
2025-01-04 19:05:40,-197,14
2025-01-04 19:05:50,-197,14
2025-01-04 19:06:00,-197,15
2025-01-04 19:06:10,-197,18
2025-01-04 19:06:20,-197,13
2025-01-04 19:06:30,-197,13
2025-01-04 19:06:40,-197,13
2025-01-04 19:06:50,-197,16
2025-01-04 19:07:00,-197,14
2025-01-04 19:07:10,-197,12
2025-01-04 19:07:20,-197,14
2025-01-04 19:07:30,-197,14
2025-01-04 19:07:40,-197,15
2025-01-04 19:07:50,-197,14
2025-01-04 19:08:00,-197,14
2025-01-04 19:08:10,-197,15
2025-01-04 19:08:20,-197,14
2025-01-04 19:08:30,-197,14
2025-01-04 19:08:40,-197,14
2025-01-04 19:08:50,-196,12
2025-01-04 19:09:00,-197,15
2025-01-04 19:09:10,-197,14
2025-01-04 19:09:20,-197,15
2025-01-04 19:09:30,-196,13
2025-01-04 19:09:40,-197,13
2025-01-04 19:09:50,-196,12
2025-01-04 19:10:00,-197,12
2025-01-04 19:10:10,-197,12
2025-01-04 19:10:20,-197,13
2025-01-04 19:10:30,-197,14
2025-01-04 19:10:40,-196,12
2025-01-04 19:10:50,-197,13
2025-01-04 19:11:00,-197,14
2025-01-04 19:11:10,-197,12
2025-01-04 19:11:20,-197,13
2025-01-04 19:11:30,-197,13
2025-01-04 19:11:40,-196,12
2025-01-04 19:11:50,-197,13
2025-01-04 19:12:00,-197,10
2025-01-04 19:12:10,-197,11
2025-01-04 19:12:20,-197,11
2025-01-04 19:12:30,-197,11
2025-01-04 19:12:40,-196,11
2025-01-04 19:12:50,-197,12
2025-01-04 19:13:00,-197,10
2025-01-04 19:13:10,-197,12
2025-01-04 19:13:20,-196,11
2025-01-04 19:13:30,-196,10
2025-01-04 19:13:40,-197,11
2025-01-04 19:13:50,-197,10
2025-01-04 19:14:00,-197,12
2025-01-04 19:14:10,-197,12
2025-01-04 19:14:20,-197,12
2025-01-04 19:14:30,-197,10
2025-01-04 19:14:40,-197,11
2025-01-04 19:14:50,-197,12
2025-01-04 19:15:00,-197,9
2025-01-04 19:15:10,-197,11
2025-01-04 19:15:20,-197,13
2025-01-04 19:15:30,-196,9
2025-01-04 19:15:40,-197,10
2025-01-04 19:15:50,-197,9
2025-01-04 19:16:00,-197,11
2025-01-04 19:16:10,-197,9
2025-01-04 19:16:20,-197,9
2025-01-04 19:16:30,-197,9
2025-01-04 19:16:40,-197,11
2025-01-04 19:16:50,-197,10
2025-01-04 19:17:00,-196,9
2025-01-04 19:17:10,-197,10
2025-01-04 19:17:20,-197,8
2025-01-04 19:17:30,-197,10
2025-01-04 19:17:40,-197,10
2025-01-04 19:17:50,-197,9
2025-01-04 19:18:00,-197,8
2025-01-04 19:18:10,-197,8
2025-01-04 19:18:20,-196,7
2025-01-04 19:18:30,-196,8
2025-01-04 19:18:40,-197,9
2025-01-04 19:18:50,-197,8
2025-01-04 19:19:00,-197,8
2025-01-04 19:19:10,-197,7
2025-01-04 19:19:20,-196,5
2025-01-04 19:19:30,-197,7
2025-01-04 19:19:40,-197,9
2025-01-04 19:19:50,-196,8
2025-01-04 19:20:00,-197,9
2025-01-04 19:20:10,-197,7
2025-01-04 19:20:20,-196,6
2025-01-04 19:20:30,-197,6
2025-01-04 19:20:40,-197,8
2025-01-04 19:20:50,-197,7
2025-01-04 19:21:00,-197,5
2025-01-04 20:00:00,-197,7
2025-01-04 20:00:10,-197,4
2025-01-04 20:00:20,-197,5
2025-01-04 20:00:30,-197,4
2025-01-04 20:00:40,-197,5
2025-01-04 20:00:50,-197,5
2025-01-04 20:01:00,-197,8
2025-01-04 20:01:10,-197,6
2025-01-04 20:01:20,-197,4
2025-01-04 20:01:30,-196,4
2025-01-04 20:01:40,-197,5
2025-01-04 20:01:50,-197,4
2025-01-04 20:02:00,-197,5
2025-01-04 20:02:10,-197,1
2025-01-04 20:02:20,-197,3
2025-01-04 20:02:30,-197,1
2025-01-04 20:02:40,-197,2
2025-01-04 20:02:50,-197,0
2025-01-04 20:03:00,-197,0
2025-01-04 20:03:10,-197,-2
2025-01-04 20:03:20,-197,1
2025-01-04 20:03:30,-197,0
2025-01-04 20:03:40,-196,0
2025-01-04 20:03:50,-197,-1
2025-01-04 20:04:00,-197,0
2025-01-04 20:04:10,-197,-2
2025-01-04 20:04:20,-197,-1
2025-01-04 20:04:30,-197,0
2025-01-04 20:04:40,-197,1
2025-01-04 20:04:50,-197,1
2025-01-04 20:05:00,-197,1
2025-01-04 20:05:10,-197,1
2025-01-04 20:05:20,-197,0
2025-01-04 20:05:30,-197,3
2025-01-04 20:05:40,-197,0
2025-01-04 20:05:50,-197,1
2025-01-04 20:06:00,-197,2
