Timestamp,Methane Input,Methane Output
2025-01-04 19:00:00,-197,15
2025-01-04 19:05:00,-197,15
2025-01-04 19:10:00,-197,12
2025-01-04 19:15:00,-197,9
2025-01-04 19:20:00,-197,9
2025-01-04 20:00:00,-197,7
2025-01-04 20:05:00,-197,1
2025-01-04 20:10:00,-197,1
2025-01-04 20:15:00,-196,-4
2025-01-04 20:20:00,-196,-5
2025-01-04 20:25:00,-197,-6
2025-01-04 20:30:00,-196,-6
2025-01-04 20:35:00,-196,-8
2025-01-04 20:40:00,-197,-7
2025-01-04 20:45:00,-196,-9
2025-01-04 20:50:00,-197,-11
2025-01-04 20:55:00,-196,-12
2025-01-04 21:00:00,-196,-15
2025-01-04 21:00:00,-197,-14
2025-01-04 21:05:00,-197,-14
2025-01-04 21:10:00,-197,-16
2025-01-04 21:15:00,-197,-16
2025-01-04 21:20:00,-196,-20
2025-01-04 21:25:00,-197,-16
2025-01-04 21:30:00,-196,-20
2025-01-04 21:35:00,-196,-22
2025-01-04 21:40:00,-196,-21
2025-01-04 21:45:00,-197,-22
2025-01-04 21:50:00,-197,-25
2025-01-04 21:55:00,-197,-23
2025-01-04 22:00:00,-196,-35
2025-01-04 22:05:00,195,-24
2025-01-04 22:10:00,191,-25
2025-01-04 22:15:00,188,-26
2025-01-04 22:20:00,185,-27
2025-01-04 22:25:00,181,-30
2025-01-04 22:30:00,179,-27
2025-01-04 22:35:00,177,-28
2025-01-04 23:00:00,175,-28
2025-01-04 23:05:00,174,-28
2025-01-04 23:10:00,172,-29
2025-01-04 23:15:00,170,-29
2025-01-04 23:20:00,174,-30
2025-01-04 23:25:00,170,-30
2025-01-04 23:30:00,168,-30
2025-01-04 23:35:00,166,-31
2025-01-04 23:40:00,165,-31
2025-01-04 23:45:00,165,-31
2025-01-04 23:50:00,163,-32
2025-01-04 23:55:00,162,-32
2025-01-05 00:00:00,162,-34
2025-01-05 00:05:00,161,-33
2025-01-05 00:10:00,160,-34
2025-01-05 00:15:00,159,-34
2025-01-05 00:20:00,159,-34
2025-01-05 00:25:00,159,-34
2025-01-05 00:30:00,158,-35
2025-01-05 00:35:00,157,-35
2025-01-05 00:40:00,156,-35
2025-01-05 00:45:00,156,-36
2025-01-05 00:50:00,156,-36
2025-01-05 00:55:00,157,-37
2025-01-05 11:00:00,149,-69
2025-01-05 11:05:00,138,-65
2025-01-05 11:10:00,141,-65
2025-01-05 11:15:00,78,-83
2025-01-05 11:20:00,123,-70
2025-01-05 12:00:00,117,-71
2025-01-05 12:05:00,110,-66
2025-01-05 12:10:00,110,-65
2025-01-05 12:15:00,99,-61
2025-01-05 12:20:00,98,-66
2025-01-05 12:25:00,92,-65
2025-01-05 12:30:00,85,-67
2025-01-05 12:35:00,77,-66
2025-01-05 12:40:00,58,-66
2025-01-05 12:45:00,71,-65
2025-01-05 12:50:00,79,-65
2025-01-05 12:55:00,78,-67
2025-01-05 13:00:00,79,-66
2025-01-05 13:05:00,80,-66
2025-01-05 13:10:00,81,-67
2025-01-05 13:15:00,81,-66
2025-01-05 13:20:00,81,-67
2025-01-05 13:25:00,82,-66
2025-01-05 13:30:00,83,-67
2025-01-05 13:35:00,100,-67
2025-01-05 13:40:00,99,-64
2025-01-05 13:45:00,96,-70
2025-01-05 13:50:00,95,-67
